INFO  - 2016-03-08 18:53:21.628; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2016-03-08 18:53:21.658; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /Users/elele/solr/solr-4.7.2/example/contexts at interval 0
INFO  - 2016-03-08 18:53:21.665; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /Users/elele/solr/solr-4.7.2/example/contexts/solr-jetty-context.xml
INFO  - 2016-03-08 18:53:21.736; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/Users/elele/solr/solr-4.7.2/example/webapps/solr.war!/ to /Users/elele/solr/solr-4.7.2/example/solr-webapp/webapp
INFO  - 2016-03-08 18:53:23.224; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2016-03-08 18:53:23.298; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2016-03-08 18:53:23.319; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2016-03-08 18:53:23.319; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2016-03-08 18:53:23.320; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2016-03-08 18:53:23.440; org.apache.solr.core.ConfigSolr; Loading container configuration from /Users/elele/solr/solr-4.7.2/example/solr/solr.xml
INFO  - 2016-03-08 18:53:23.602; org.apache.solr.core.CorePropertiesLocator; Config-defined core root directory: /Users/elele/solr/solr-4.7.2/example/solr
INFO  - 2016-03-08 18:53:23.611; org.apache.solr.core.CoreContainer; New CoreContainer 483585970
INFO  - 2016-03-08 18:53:23.612; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2016-03-08 18:53:23.624; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2016-03-08 18:53:23.624; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: null
INFO  - 2016-03-08 18:53:23.628; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2016-03-08 18:53:23.630; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2016-03-08 18:53:23.630; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2016-03-08 18:53:23.631; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2016-03-08 18:53:23.631; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2016-03-08 18:53:23.631; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2016-03-08 18:53:23.631; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2016-03-08 18:53:23.771; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2016-03-08 18:53:23.772; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2016-03-08 18:53:23.773; org.apache.solr.core.CoreContainer; Host Name: 
INFO  - 2016-03-08 18:53:25.682; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath /Users/elele/solr/solr-4.7.2/example/solr
INFO  - 2016-03-08 18:53:25.690; org.apache.solr.core.CorePropertiesLocator; Found core collection1 in /Users/elele/solr/solr-4.7.2/example/solr/collection1/
INFO  - 2016-03-08 18:53:25.691; org.apache.solr.core.CorePropertiesLocator; Found 1 core definitions
INFO  - 2016-03-08 18:53:25.693; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using instanceDir: /Users/elele/solr/solr-4.7.2/example/solr/collection1
INFO  - 2016-03-08 18:53:25.693; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/Users/elele/solr/solr-4.7.2/example/solr/collection1/'
INFO  - 2016-03-08 18:53:25.774; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
INFO  - 2016-03-08 18:53:25.777; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/contrib/extraction/lib/apache-mime4j-core-0.7.2.jar' to classloader
INFO  - 2016-03-08 18:53:25.777; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/contrib/extraction/lib/apache-mime4j-dom-0.7.2.jar' to classloader
INFO  - 2016-03-08 18:53:25.778; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/contrib/extraction/lib/asm-3.1.jar' to classloader
INFO  - 2016-03-08 18:53:25.778; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/contrib/extraction/lib/aspectjrt-1.6.11.jar' to classloader
INFO  - 2016-03-08 18:53:25.778; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/contrib/extraction/lib/bcmail-jdk15-1.45.jar' to classloader
INFO  - 2016-03-08 18:53:25.778; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/contrib/extraction/lib/bcprov-jdk15-1.45.jar' to classloader
INFO  - 2016-03-08 18:53:25.779; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/contrib/extraction/lib/boilerpipe-1.1.0.jar' to classloader
INFO  - 2016-03-08 18:53:25.779; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/contrib/extraction/lib/commons-compress-1.7.jar' to classloader
INFO  - 2016-03-08 18:53:25.779; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/contrib/extraction/lib/dom4j-1.6.1.jar' to classloader
INFO  - 2016-03-08 18:53:25.779; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/contrib/extraction/lib/fontbox-1.8.1.jar' to classloader
INFO  - 2016-03-08 18:53:25.780; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/contrib/extraction/lib/icu4j-52.1.jar' to classloader
INFO  - 2016-03-08 18:53:25.780; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
INFO  - 2016-03-08 18:53:25.781; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/contrib/extraction/lib/jdom-1.0.jar' to classloader
INFO  - 2016-03-08 18:53:25.781; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/contrib/extraction/lib/jempbox-1.8.1.jar' to classloader
INFO  - 2016-03-08 18:53:25.781; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
INFO  - 2016-03-08 18:53:25.781; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
INFO  - 2016-03-08 18:53:25.781; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/contrib/extraction/lib/netcdf-4.2-min.jar' to classloader
INFO  - 2016-03-08 18:53:25.782; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/contrib/extraction/lib/pdfbox-1.8.1.jar' to classloader
INFO  - 2016-03-08 18:53:25.782; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/contrib/extraction/lib/poi-3.9.jar' to classloader
INFO  - 2016-03-08 18:53:25.782; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/contrib/extraction/lib/poi-ooxml-3.9.jar' to classloader
INFO  - 2016-03-08 18:53:25.783; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/contrib/extraction/lib/poi-ooxml-schemas-3.9.jar' to classloader
INFO  - 2016-03-08 18:53:25.783; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/contrib/extraction/lib/poi-scratchpad-3.9.jar' to classloader
INFO  - 2016-03-08 18:53:25.783; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/contrib/extraction/lib/rome-0.9.jar' to classloader
INFO  - 2016-03-08 18:53:25.783; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
INFO  - 2016-03-08 18:53:25.783; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/contrib/extraction/lib/tika-core-1.4.jar' to classloader
INFO  - 2016-03-08 18:53:25.784; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/contrib/extraction/lib/tika-parsers-1.4.jar' to classloader
INFO  - 2016-03-08 18:53:25.784; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/contrib/extraction/lib/tika-xmp-1.4.jar' to classloader
INFO  - 2016-03-08 18:53:25.784; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
INFO  - 2016-03-08 18:53:25.784; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/contrib/extraction/lib/vorbis-java-tika-0.1.jar' to classloader
INFO  - 2016-03-08 18:53:25.785; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
INFO  - 2016-03-08 18:53:25.785; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/contrib/extraction/lib/xmlbeans-2.3.0.jar' to classloader
